date,deaths_val
2020-03-28,21938.878460631542
2020-03-29,21657.0533854061
2020-03-30,21921.581816327554
2020-03-31,22641.98606804435
2020-04-01,23983.47934198207
2020-04-02,25505.826408473695
2020-04-03,27034.569871012394
2020-04-04,28230.74126691652
2020-04-05,28342.024201368728
2020-04-06,29215.90745130095
2020-04-07,30518.605401879042
2020-04-08,32139.8651999671
2020-04-09,33530.1248935581
2020-04-10,34649.402706408844
2020-04-11,35411.922434302374
2020-04-12,35220.593153794
2020-04-13,35874.07091136879
2020-04-14,36887.763878453574
2020-04-15,38104.2647321718
2020-04-16,39131.88486835279
2020-04-17,40182.364050276075
2020-04-18,41292.292037638384
2020-04-19,41738.40764950415
2020-04-20,43051.81824824382
2020-04-21,44577.69219308076
2020-04-22,46228.804567335086
2020-04-23,47828.0306409842
2020-04-24,49692.291555246346
2020-04-25,51678.767675982366
2020-04-26,52676.13702514433
2020-04-27,53892.89606295128
