date,recovered_val
2020-03-28,50050.523380682454
2020-03-29,48981.16087542917
2020-03-30,48983.69373196891
2020-03-31,50484.72649533972
2020-04-01,53610.209116413076
2020-04-02,57120.152891280224
2020-04-03,60503.837271893615
2020-04-04,63228.51344403078
2020-04-05,63261.44492114964
2020-04-06,64958.3221182181
2020-04-07,68141.20079589877
2020-04-08,72175.68750396311
2020-04-09,75441.40940156279
2020-04-10,77716.00828695938
2020-04-11,79168.61614660971
2020-04-12,78298.41120191391
2020-04-13,79445.33608956776
2020-04-14,82034.98523716404
2020-04-15,85180.84393138095
2020-04-16,87507.08067746134
2020-04-17,89357.63752259736
2020-04-18,91260.9412961216
2020-04-19,91520.18445583596
2020-04-20,93922.42300463837
2020-04-21,97551.21790962777
2020-04-22,101759.61082087684
2020-04-23,105759.08703278612
2020-04-24,110157.80271741073
2020-04-25,114933.40546652488
2020-04-26,117209.44961925433
2020-04-27,119734.70325221954
